ID_Caso;Tipo_Ataque;Pais;Idade_Vitima;Especie_Tubarao
1;Desastre Marítimo;USA;76.0;Tubarão Cabeça-Chata
2;Desastre Marítimo;SOUTH AFRICA;;Tubarão Tigre
3;Provocado;BRAZIL;41.0;
4;Não Provocado;BRAZIL;;Tubarão Cabeça-Chata
5;Não Provocado;SOUTH AFRICA;73.0;Tubarão Branco
6;Provocado;SOUTH AFRICA;78.0;Tubarão Cabeça-Chata
7;Desastre Marítimo;USA;77.0;Tubarão Tigre
8;Não Provocado;AUSTRALIA;37.0;Tubarão Branco
9;Desastre Marítimo;SOUTH AFRICA;62.0;Tubarão Cabeça-Chata
10;Provocado;USA;;Tubarão Branco
11;Desastre Marítimo;AUSTRALIA;62.0;Tubarão Branco
12;Não Provocado;BRAZIL;13.0;Tubarão Branco
13;Desastre Marítimo;BRAZIL;26.0;Tubarão Cabeça-Chata
14;Desastre Marítimo;USA;76.0;Tubarão Tigre
15;Não Provocado;USA;56.0;Tubarão Cabeça-Chata
16;Não Provocado;SOUTH AFRICA;65.0;Tubarão Tigre
17;Desastre Marítimo;BRAZIL;32.0;Tubarão Cabeça-Chata
18;Desastre Marítimo;USA;;Tubarão Cabeça-Chata
19;Provocado;BRAZIL;10.0;Tubarão Cabeça-Chata
20;Não Provocado;BRAZIL;44.0;Tubarão Tigre
21;Desastre Marítimo;SOUTH AFRICA;73.0;Tubarão Cabeça-Chata
22;Não Provocado;AUSTRALIA;67.0;Tubarão Branco
23;Provocado;SOUTH AFRICA;;Tubarão Cabeça-Chata
24;Desastre Marítimo;USA;10.0;Tubarão Branco
25;Desastre Marítimo;SOUTH AFRICA;12.0;
26;Desastre Marítimo;SOUTH AFRICA;76.0;
27;Não Provocado;BRAZIL;46.0;Tubarão Tigre
28;Provocado;SOUTH AFRICA;38.0;Tubarão Tigre
29;Não Provocado;USA;42.0;
30;Desastre Marítimo;AUSTRALIA;70.0;Tubarão Cabeça-Chata
31;Provocado;SOUTH AFRICA;13.0;Tubarão Cabeça-Chata
32;Desastre Marítimo;SOUTH AFRICA;23.0;Tubarão Cabeça-Chata
33;Desastre Marítimo;AUSTRALIA;42.0;
34;Não Provocado;USA;31.0;Tubarão Branco
35;Desastre Marítimo;USA;57.0;Tubarão Tigre
36;Provocado;SOUTH AFRICA;;Tubarão Branco
37;Desastre Marítimo;BRAZIL;32.0;
38;Desastre Marítimo;SOUTH AFRICA;;Tubarão Branco
39;Não Provocado;AUSTRALIA;;Tubarão Cabeça-Chata
40;Provocado;AUSTRALIA;52.0;Tubarão Cabeça-Chata
41;Não Provocado;AUSTRALIA;35.0;Tubarão Branco
42;Desastre Marítimo;SOUTH AFRICA;;
43;Não Provocado;SOUTH AFRICA;47.0;Tubarão Branco
44;Não Provocado;USA;20.0;Tubarão Cabeça-Chata
45;Não Provocado;BRAZIL;38.0;Tubarão Cabeça-Chata
46;Não Provocado;SOUTH AFRICA;69.0;
47;Desastre Marítimo;USA;76.0;Tubarão Branco
48;Desastre Marítimo;SOUTH AFRICA;74.0;Tubarão Cabeça-Chata
49;Provocado;USA;;Tubarão Cabeça-Chata
50;Não Provocado;USA;28.0;Tubarão Branco
51;Não Provocado;BRAZIL;;Tubarão Branco
52;Provocado;SOUTH AFRICA;58.0;Tubarão Tigre
53;Não Provocado;USA;31.0;
54;Provocado;AUSTRALIA;66.0;
55;Desastre Marítimo;AUSTRALIA;23.0;Tubarão Branco
56;Provocado;AUSTRALIA;53.0;
57;Não Provocado;BRAZIL;;Tubarão Cabeça-Chata
58;Provocado;USA;21.0;Tubarão Branco
59;Desastre Marítimo;BRAZIL;64.0;Tubarão Branco
60;Não Provocado;SOUTH AFRICA;60.0;Tubarão Branco
61;Desastre Marítimo;SOUTH AFRICA;48.0;Tubarão Tigre
62;Desastre Marítimo;USA;42.0;
63;Provocado;AUSTRALIA;42.0;Tubarão Tigre
64;Desastre Marítimo;USA;38.0;Tubarão Cabeça-Chata
65;Não Provocado;USA;78.0;
66;Desastre Marítimo;USA;;Tubarão Tigre
67;Desastre Marítimo;BRAZIL;;Tubarão Branco
68;Provocado;SOUTH AFRICA;40.0;Tubarão Tigre
69;Desastre Marítimo;USA;;Tubarão Branco
70;Provocado;USA;61.0;Tubarão Tigre
71;Provocado;USA;19.0;Tubarão Tigre
72;Não Provocado;BRAZIL;;Tubarão Tigre
73;Não Provocado;BRAZIL;;Tubarão Branco
74;Não Provocado;BRAZIL;68.0;Tubarão Tigre
75;Não Provocado;USA;;
76;Provocado;AUSTRALIA;43.0;
77;Desastre Marítimo;AUSTRALIA;58.0;
78;Não Provocado;AUSTRALIA;37.0;Tubarão Branco
79;Não Provocado;SOUTH AFRICA;;Tubarão Branco
80;Não Provocado;USA;78.0;
81;Desastre Marítimo;AUSTRALIA;;
82;Não Provocado;AUSTRALIA;;
83;Desastre Marítimo;AUSTRALIA;;Tubarão Cabeça-Chata
84;Provocado;USA;33.0;
85;Provocado;AUSTRALIA;72.0;Tubarão Tigre
86;Provocado;AUSTRALIA;70.0;Tubarão Cabeça-Chata
87;Desastre Marítimo;USA;32.0;Tubarão Cabeça-Chata
