ID_Transacao,Status_Pedido,Valor_Compra,Idade_Cliente,CEP
2164,Em Trânsito,204.7529433240693,62.0,040720-000
4626,Entregue,191.46419567129433,,019972-000
2869,Entregue,170.92883413300413,54.0,043351-000
2819,Em Trânsito,133.6493157003256,65.0,046145-000
3705,Em Trânsito,146.18051818665833,60.0,097948-000
4386,Em Trânsito,142.6240217690972,,099614-000
4515,Entregue,134.48156082093524,22.0,098116-000
2342,Em Trânsito,119.94259317020087,30.0,066235-000
2464,Em Trânsito,163.2599317974151,45.0,024855-000
4163,Cancelado,,60.0,046169-000
3226,Cancelado,,42.0,056404-000
2079,Entregue,45.006338389047656,68.0,029569-000
2178,Cancelado,,52.0,064437-000
2695,Cancelado,,,058506-000
1110,Em Trânsito,104.97853872677553,56.0,035738-000
3184,Em Trânsito,179.60509805215716,,016772-000
3279,Cancelado,,55.0,029731-000
4039,Cancelado,,49.0,020131-000
1467,Cancelado,,20.0,076324-000
3779,Entregue,133.1676697817357,62.0,064097-000
3528,Entregue,152.71757392735083,56.0,091720-000
4139,Entregue,82.82865164391522,54.0,012889-000
1813,Cancelado,,72.0,019569-000
2272,Cancelado,,67.0,097193-000
1993,Entregue,131.99842515025213,39.0,085677-000
3031,Entregue,176.21020854507734,25.0,095192-000
1322,Cancelado,,34.0,097154-000
3969,Em Trânsito,145.43712238341857,69.0,087470-000
1903,Entregue,94.58764236410674,44.0,098822-000
2541,Cancelado,,50.0,017612-000
2999,Cancelado,,63.0,061644-000
2815,Em Trânsito,119.54326153930951,34.0,042069-000
4503,Cancelado,,59.0,091741-000
4558,Cancelado,,,037331-000
3653,Entregue,162.87150380290066,65.0,065897-000
3476,Entregue,101.46196682987247,,023934-000
4340,Em Trânsito,190.14020291066103,44.0,020095-000
4780,Em Trânsito,294.8259302759873,65.0,028706-000
4608,Cancelado,,25.0,053516-000
1147,Entregue,174.80442481462825,40.0,044629-000
2141,Em Trânsito,186.0546398243048,59.0,056910-000
1849,Em Trânsito,133.59423334157287,66.0,098540-000
1366,Em Trânsito,133.11746352034257,46.0,030431-000
3897,Cancelado,,67.0,066733-000
2089,Entregue,121.25250223065615,37.0,050088-000
3038,Em Trânsito,132.3777567111991,,054135-000
3860,Entregue,132.14464038755406,34.0,048015-000
4441,Em Trânsito,137.76577455829343,33.0,041385-000
1174,Em Trânsito,136.366098420995,,080199-000
2854,Entregue,162.15059285048505,,048677-000
1587,Entregue,153.9396509103923,73.0,022818-000
1494,Entregue,158.36812267558514,25.0,098222-000
4020,Cancelado,,55.0,073001-000
2137,Em Trânsito,153.83671193582558,55.0,033977-000
4182,Cancelado,,70.0,059832-000
2784,Entregue,167.63447699113058,46.0,050931-000
4510,Em Trânsito,127.63702045585813,58.0,093990-000
4786,Cancelado,,,088894-000
2170,Em Trânsito,146.02363661459006,43.0,082204-000
1034,Cancelado,,48.0,055784-000
1998,Entregue,149.7998429082408,61.0,019921-000
2332,Cancelado,,29.0,044959-000
3585,Em Trânsito,230.32736931441673,,042328-000
3797,Em Trânsito,105.12166574998166,34.0,018859-000
2037,Em Trânsito,133.3672590960864,,099506-000
1373,Em Trânsito,213.38196880302294,26.0,084408-000
3604,Entregue,169.720426636209,56.0,094766-000
2451,Cancelado,,59.0,036708-000
2751,Entregue,112.1757166763483,65.0,028847-000
