,ID_Transacao,Status_Pedido,Valor_Compra,Idade_Cliente,CEP
0,4143,Entregue,154.7260464076773,,056790-000
1,2690,Em Trânsito,229.81124436744796,,076352-000
2,1793,Em Trânsito,185.48725775997664,66.0,070215-000
3,4751,Entregue,248.54819505845919,,069481-000
4,2564,Entregue,134.6472594050091,33.0,032310-000
5,4153,Em Trânsito,113.9166456007632,57.0,045436-000
6,1774,Cancelado,,55.0,068207-000
7,4689,Em Trânsito,242.9187256061382,,071643-000
8,1276,Entregue,94.05342241670911,40.0,054587-000
9,2999,Entregue,220.00791876820233,63.0,087319-000
10,1962,Entregue,173.75507021675804,65.0,083095-000
11,4935,Em Trânsito,127.9377573545888,57.0,052890-000
12,2545,Entregue,225.16422274587313,35.0,017008-000
13,4645,Em Trânsito,90.01891760049807,,069544-000
14,1735,Cancelado,,66.0,046830-000
15,4207,Entregue,140.72243816705227,39.0,033276-000
16,3783,Entregue,205.87303098304014,71.0,065222-000
17,1113,Cancelado,,57.0,083038-000
18,1771,Em Trânsito,204.85406332891762,47.0,072519-000
19,3204,Entregue,152.4096500851588,65.0,063044-000
20,2419,Entregue,128.25580994736654,72.0,029184-000
21,2012,Entregue,145.9558328659624,,060082-000
22,4300,Entregue,159.1483904852082,59.0,086326-000
23,4683,Cancelado,,59.0,031633-000
24,3302,Em Trânsito,184.11915589385438,70.0,046961-000
25,4250,Cancelado,,,035368-000
26,4858,Em Trânsito,183.9824958089285,70.0,037045-000
27,2252,Cancelado,,35.0,063187-000
28,4438,Cancelado,,58.0,055135-000
29,4102,Em Trânsito,200.2329628591705,70.0,079919-000
30,1107,Entregue,115.96067279256474,,071261-000
31,1281,Entregue,102.82761103011353,74.0,065464-000
32,3668,Cancelado,,,030742-000
33,3437,Cancelado,,,033250-000
34,4612,Cancelado,,32.0,012577-000
35,3576,Entregue,109.98938049069308,22.0,080416-000
36,2427,Em Trânsito,270.9079098169422,44.0,014305-000
37,4241,Entregue,148.58470739873553,34.0,063202-000
38,1877,Cancelado,,58.0,024951-000
39,2198,Entregue,106.59615405782452,74.0,029532-000
40,4145,Entregue,256.0822307044748,74.0,088138-000
41,1453,Entregue,139.28922898694128,49.0,098074-000
42,1508,Em Trânsito,145.91571603001603,55.0,050828-000
43,2263,Cancelado,,43.0,072514-000
44,3143,Entregue,213.67574416414672,19.0,080662-000
45,4585,Entregue,106.08398862632042,45.0,028330-000
46,3249,Cancelado,,62.0,023242-000
47,4108,Entregue,122.35456914014313,40.0,044340-000
48,1090,Entregue,133.64411689712537,67.0,070989-000
49,1232,Entregue,191.61532295137158,37.0,023823-000
50,1658,Entregue,145.6544820399777,53.0,092119-000
51,4058,Cancelado,,59.0,079604-000
52,3856,Entregue,150.2510997214476,72.0,018281-000
53,1911,Em Trânsito,121.73298902259808,39.0,081734-000
54,3300,Entregue,227.79300754491703,28.0,097951-000
55,4442,Em Trânsito,115.16109800073646,45.0,051051-000
56,3771,Cancelado,,62.0,067283-000
57,2467,Entregue,180.87334697518395,72.0,069309-000
58,1440,Em Trânsito,183.74372582346143,39.0,022348-000
59,1995,Em Trânsito,130.54300962982924,34.0,073335-000
60,3111,Entregue,204.82289164841876,48.0,053124-000
61,1004,Entregue,257.15568287947053,28.0,092509-000
62,4729,Cancelado,,53.0,095558-000
